Final,I1,I2,I3,I4,I5,I6,I7
On Time,324,443.1,255,191.925,512.7,386.6625,259.6875
On Time,336,459.9,261,194.175,525.3,389.5875,257.0625
On Time,330,462,261.6,193.5,512.4,381.15,260.25
On Time,306,432.6,248.4,190.35,508.2,383.175,256.125
On Time,324,449.4,261.6,193.5,519.6,394.65,264.75
On Time,408,527.1,300.6,218.925,606.3,436.1625,296.5875
On Time,330,457.8,262.8,193.95,517.8,393.975,264.525
On Time,315,451.5,255,194.625,523.5,385.3125,256.8375
On Time,468,661.5,378.6,281.475,749.7,567.3375,372.7125
On Time,342,550.2,289.2,211.95,549,411.075,282.225
On Time,333,464.1,261,203.175,537.3,395.8875,266.3625
On Time,354,516.6,280.8,207.9,610.8,439.65,307.35
On Time,306,428.4,242.4,180.9,502.8,382.95,257.25
On Time,318,451.5,284.4,205.65,528.6,387.225,258.675
On Time,384,537.6,300,230.4,604.8,466.2,321
On Time,315,447.3,253.8,190.575,515.7,380.5875,256.4625
On Time,342,480.9,277.8,204.975,549.3,411.1875,271.4625
On Time,345,527.1,295.8,221.625,597.9,461.8125,317.1375
On Time,324,438.9,246.6,186.075,492.9,375.6375,252.4125
On Time,336,478.8,271.2,204.3,541.2,463.5,290.1
On Time,366,499.8,343.2,232.2,580.8,428.4,277.2
On Time,477,659.4,375.6,278.55,745.8,555.075,369.825
On Time,318,449.4,259.2,188.1,495.6,367.65,252.15
On Time,390,533.4,319.2,235.8,604.8,426.6,283.8
On Time,333,464.1,261,194.175,527.7,394.0875,257.3625
On Time,456,640.5,372.6,280.125,738.3,555.8625,367.6875
On Time,372,520.8,274.8,204.75,565.8,431.775,284.325
On Time,474,646.8,370.8,275.85,749.4,561.825,372.075
On Time,351,497.7,288.6,209.925,553.5,407.3625,321.975
On Time,330,464.1,265.8,195.975,515.7,385.9875,255.8625
On Time,381,552.3,319.8,228.825,631.5,478.0125,305.7375
On Time,318,449.4,259.2,193.5,505.2,374.85,252.15
On Time,408,531.3,287.4,207.675,586.5,544.275,335.025
On Time,315,453.6,260.4,197.55,534.6,409.275,274.425
On Time,321,455.7,262.2,194.625,516.3,389.8125,259.5375
On Time,363,497.7,283.8,202.725,560.7,410.0625,277.0875
On Time,318,457.8,261.6,194.4,516,423,277.8
On Time,324,449.4,258,193.05,521.4,395.325,263.775
On Time,408,529.2,288,214.2,556.8,426.6,274.2
On Time,333,459.9,261,195.075,526.5,393.6375,260.8125
On Time,330,457.8,288,205.2,532.8,394.2,263.4
On Time,321,445.2,256.8,201.6,566.4,405,262.2
On Time,321,449.4,258,193.95,517.8,393.975,257.325
On Time,360,476.7,264.6,197.325,539.1,418.1625,282.1875
On Time,321,441,254.4,193.5,519.6,418.5,265.5
On Time,327,455.7,259.8,194.625,543,396.225,265.275
On Time,387,527.1,316.2,231.075,627.3,485.4375,305.8125
On Time,453,648.9,371.4,276.075,728.1,555.6375,371.2125
On Time,324,451.5,258.6,191.475,514.5,383.7375,258.7125
On Time,354,501.9,289.8,214.875,581.7,421.5375,273.7125
On Time,330,459.9,265.8,194.175,530.1,402.1875,274.4625
On Time,321,464.1,269.4,196.425,533.1,390.7125,270.6375
On Time,339,476.7,271.8,204.525,548.7,409.1625,271.9875
On Time,354,489.3,286.2,218.025,583.5,422.2125,282.3375
On Time,369,516.6,274.8,211.05,562.2,430.425,279.075
On Time,342,501.9,287.4,240.75,630.6,438.075,352.05
On Time,387,552.3,311.4,231.975,616.5,461.5875,303.8625
On Time,450,632.1,370.2,280.125,738.3,548.6625,371.2875
On Time,381,520.8,298.8,227.25,615,448.425,304.275
On Time,390,506.1,287.4,217.575,606.9,441.7875,286.4625
On Time,450,646.8,364.8,272.7,740.4,558.45,366.15
On Time,330,464.1,264.6,197.325,546.3,408.2625,288.4875
On Time,330,459.9,259.8,196.425,523.5,390.7125,257.4375
On Time,330,478.8,261.6,198,525.6,395.1,263.7
On Time,378,550.2,321.6,245.7,654,566.1,348.3
On Time,390,535.5,306.6,229.275,629.7,473.7375,380.625
On Time,324,451.5,259.8,191.925,512.7,392.0625,257.8875
On Time,345,487.2,280.8,207.9,636,445.5,279.3
On Time,345,483,282,209.25,571.8,417.825,276.075
On Time,303,424.2,247.2,183.6,487.2,362.7,251.7
On Time,327,474.6,267.6,200.25,523.8,418.05,268.95
On Time,324,438.9,247.8,190.125,495.9,380.3625,249.1875
On Time,330,457.8,264,201.6,532.8,396,266.4
On Time,327,453.6,261.6,195.3,517.2,427.5,273.3
On Time,396,556.5,313.8,231.075,598.5,465.6375,316.0125
On Time,336,466.2,267.6,201.15,532.2,397.575,265.725
On Time,384,535.5,307.8,227.025,619.5,451.9125,300.6375
On Time,339,476.7,299.4,217.575,602.1,475.9875,314.6625
On Time,324,483,284.4,211.05,533.4,417.825,277.275
On Time,327,459.9,276.6,211.725,570.3,422.6625,280.0875
On Time,312,451.5,262.2,200.925,560.7,428.0625,267.4875
On Time,315,436.8,259.2,189.9,512.4,382.95,256.05
On Time,348,497.7,288.6,216.225,573.9,427.6125,288.9375
On Time,348,489.3,322.8,229.05,581.4,446.625,296.475
On Time,321,457.8,265.2,193.95,520.2,394.875,260.025
On Time,306,434.7,249,190.575,513.3,374.2875,248.3625
On Time,336,459.9,270.6,204.075,533.7,389.1375,290.625
On Time,348,501.9,299.4,224.775,573.3,459.7875,300.8625
On Time,315,445.2,256.8,196.2,571.2,412.2,263.4
On Time,357,508.2,291.6,220.05,576.6,439.425,292.875
On Time,318,451.5,262.2,196.425,518.7,390.7125,261.0375
On Time,345,474.6,274.8,202.95,537,393.975,259.725
On Time,354,499.8,288,209.7,548.4,423.45,282.75
On Time,339,472.5,275.4,206.775,546.9,410.2875,304.725
On Time,342,466.2,264,193.5,524.4,391.05,257.55
On Time,333,487.2,282,210.15,561,420.975,284.325
On Time,348,520.8,314.4,221.4,559.2,418.5,273.9
On Time,333,462,260.4,192.15,565.2,404.55,265.65
On Time,405,520.8,286.8,221.85,586.2,479.25,315.75
On Time,342,464.1,259.8,193.725,510.3,389.3625,258.1875
On Time,357,487.2,267.6,202.05,531,416.925,268.575
On Time,345,493.5,294.6,223.875,673.8,465.075,296.625
On Time,351,499.8,284.4,211.05,569.4,411.525,267.975
On Time,342,468.3,264.6,195.525,539.1,401.9625,268.3875
On Time,351,485.1,274.2,209.025,547.5,419.5125,276.6375
On Time,378,541.8,302.4,221.4,621.6,477.9,378.6
On Time,324,441,247.2,185.4,528,388.8,253.2
On Time,342,478.8,273.6,207,549.6,407.7,312.6
On Time,360,510.3,294.6,230.175,767.4,512.775,323.325
On Time,330,512.4,273.6,198,518.4,385.2,260.4
On Time,336,478.8,271.2,202.5,541.2,463.5,293.7
On Time,369,508.2,277.2,206.55,541.8,413.775,284.325
On Time,363,504,282,210.15,587.4,420.075,294.825
On Time,315,441,254.4,191.7,514.8,383.85,253.95
On Time,336,466.2,280.8,207.9,548.4,412.65,273.15
On Time,375,522.9,307.8,235.125,630.3,461.3625,308.5875
On Time,333,497.7,282.6,217.575,582.9,420.1875,281.6625
On Time,321,466.2,265.2,198.45,543,396.225,265.275
On Time,315,434.7,253.8,192.375,518.1,374.2875,248.3625
On Time,393,531.3,309,230.175,616.5,555.975,346.125
On Time,330,455.7,272.4,200.25,526.2,430.65,269.55
On Time,381,552.3,315,236.925,756.6,503.325,318.975
On Time,453,646.8,370.8,282.15,753,561.375,369.525
On Time,324,451.5,258.6,206.55,534.6,396.675,257.025
On Time,360,537.6,303.6,228.15,613.8,458.775,311.325
On Time,387,520.8,296.4,220.95,568.2,425.475,276.225
On Time,474,655.2,370.8,278.55,736.2,558.675,374.625
On Time,339,468.3,262.2,194.625,540.3,402.4125,267.3375
On Time,330,464.1,274.2,215.325,584.7,417.2625,277.0875
On Time,324,476.7,279,201.825,540.3,425.8125,271.5375
On Time,318,447.3,261,194.175,513.3,388.6875,254.3625
On Time,369,504,294,233.55,630.6,466.875,294.825
On Time,312,436.8,255.6,190.35,510.6,387.675,258.825
On Time,315,449.4,271.2,199.8,516,389.7,255.9
On Time,321,445.2,256.8,199.8,525.6,387.9,252.9
On Time,327,453.6,273.6,202.5,538.8,400.05,264.15
On Time,327,449.4,258,200.25,545.4,411.525,265.575
On Time,339,476.7,274.2,204.525,546.3,402.8625,289.0875
On Time,393,554.4,324,229.5,630,464.85,318.15
On Time,366,514.5,280.2,213.075,574.5,466.875,300.825
On Time,366,497.7,274.2,201.825,537.9,399.7125,274.8375
On Time,465,640.5,371.4,279.675,752.1,564.6375,377.8125
On Time,333,472.5,265.8,206.775,544.5,418.3875,270.2625
On Time,405,562.8,319.2,239.4,612,474.3,306.9
On Time,372,520.8,324,233.1,596.4,446.85,286.95
On Time,342,480.9,281.4,222.525,620.7,466.7625,289.9875
On Time,381,550.2,318,239.85,624.6,452.025,301.875
On Time,333,457.8,259.2,191.7,514.8,391.05,258.75
On Time,318,451.5,252.6,189.225,504.3,385.3125,258.0375
On Time,387,535.5,288.6,210.825,549.9,416.8125,276.9375
On Time,339,478.8,272.4,205.65,550.2,409.725,274.575
On Time,348,470.4,264,197.1,526.8,395.55,267.45
On Time,357,495.6,279.6,210.15,541.8,411.975,268.125
On Time,327,459.9,261,193.275,514.5,380.1375,256.3125
On Time,327,451.5,258.6,190.575,510.9,378.7875,255.8625
On Time,378,504,292.8,217.8,612,441.9,292.5
On Time,321,455.7,256.2,198.675,528.9,396.3375,260.5125
On Time,321,445.2,260.4,193.95,517.8,390.375,263.325
On Time,378,554.4,306,228.15,747.6,521.55,334.65
On Time,363,497.7,286.2,206.325,553.5,410.9625,276.1875
On Time,324,451.5,259.8,191.925,507.9,386.6625,258.4875
On Time,396,552.3,318.6,291.15,685.8,503.775,328.725
On Time,321,476.7,269.4,202.725,541.5,417.2625,272.2875
On Time,411,525,307.2,224.1,594,471.15,296.25
On Time,354,495.6,271.2,209.7,555.6,422.55,276.45
On Time,330,493.5,361.2,258.75,673.8,456.075,312.825
On Time,339,478.8,271.2,198.9,529.2,403.65,264.15
On Time,348,489.3,310.8,220.05,569.4,418.725,279.975
On Time,477,659.4,373.2,279.45,751.8,553.725,368.175
On Time,453,646.8,372,277.2,736.8,555.3,371.1
On Time,375,533.4,294,209.25,586.2,435.825,300.075
On Time,351,497.7,279,212.625,581.1,417.7125,274.8375
On Time,342,472.5,267,200.925,536.7,401.0625,272.8875
On Time,312,438.9,250.2,186.525,507.9,375.8625,256.0875
On Time,336,468.3,283.8,216.225,605.1,430.3125,282.6375
On Time,342,483,277.2,208.35,553.8,418.275,273.825
On Time,378,508.2,343.2,286.2,664.8,585,336.6
On Time,387,499.8,273.6,215.1,572.4,432.45,296.55
On Time,330,468.3,269.4,199.125,543.9,401.9625,259.9875
On Time,318,438.9,251.4,187.875,497.7,381.0375,250.6125
On Time,324,449.4,256.8,208.8,537.6,396,265.2
On Time,360,510.3,298.2,220.725,615.9,450.5625,306.1875
On Time,399,554.4,304.8,231.3,601.2,464.85,313.35
On Time,459,646.8,366,280.35,736.2,753.75,436.05
On Time,402,550.2,292.8,225.9,603.6,442.35,287.85
On Time,342,508.2,286.8,218.25,574.2,433.125,282.375
On Time,402,564.9,323.4,240.075,639.3,462.9375,313.9125
On Time,312,443.1,259.8,196.425,525.9,389.8125,257.1375
On Time,324,485.1,274.2,204.525,567.9,407.3625,264.1875
On Time,336,462,266.4,198,516,395.1,263.7
On Time,330,462,302.4,215.1,562.8,401.85,270.75
On Time,462,655.2,369.6,279.9,750,554.85,489.9
On Time,315,445.2,261.6,197.1,519.6,387.45,256.35
On Time,333,474.6,283.2,209.7,650.4,445.5,294.9
On Time,396,531.3,310.2,229.725,615.9,432.5625,300.1875
On Time,345,472.5,271.8,212.625,624.6,434.025,291.075
On Time,312,462,261.6,194.4,523.2,396,256.8
On Time,384,527.1,301.8,229.275,608.1,467.4375,303.4125
On Time,414,546,309.6,228.6,571.2,423,274.2
On Time,318,451.5,257.4,191.025,506.7,380.8125,257.7375
On Time,411,562.8,306,299.7,733.2,525.15,340.65
On Time,339,476.7,282.6,209.475,548.1,417.9375,278.5125
On Time,315,453.6,258,192.15,550.8,404.55,260.85
On Time,354,487.2,280.8,212.4,547.2,403.2,262.8
On Time,327,462,256.8,196.2,528,387,262.2
On Time,321,445.2,258,192.15,510.6,382.275,257.025
On Time,315,453.6,256.8,194.4,528,388.8,256.8
On Time,369,489.3,287.4,219.375,580.5,435.4875,298.7625
On Time,336,483,285.6,207,573.6,431.1,321
On Time,333,470.4,265.2,198.45,526.2,389.925,258.375
On Time,351,483,277.2,205.65,555,409.725,276.975
On Time,342,483,276,208.8,554.4,409.5,270.9
On Time,348,478.8,266.4,200.7,548.4,401.85,259.95
On Time,339,474.6,276,207.9,546,411.75,276.45
On Time,360,497.7,291,211.725,553.5,425.3625,288.1875
On Time,354,495.6,274.8,208.35,558.6,425.475,288.225
On Time,351,487.2,276,204.3,553.2,416.25,277.95
On Time,360,613.2,319.2,241.2,638.4,455.4,311.4
On Time,378,508.2,277.2,213.75,580.2,417.375,293.925
On Time,303,424.2,246,182.25,497.4,377.325,251.775
On Time,357,483,273.6,216.9,577.2,416.25,342.3
On Time,324,447.3,261,197.775,520.5,384.1875,254.0625
On Time,324,449.4,258,194.85,509.4,418.05,271.35
On Time,336,485.1,283.8,205.425,569.1,413.2125,270.9375
On Time,372,497.7,315.6,220.05,571.8,416.025,279.075
On Time,321,451.5,251.4,186.975,498.9,379.6875,252.5625
On Time,336,478.8,274.8,207.45,552.6,414.225,276.075
On Time,369,516.6,291.6,234.45,643.8,444.825,280.275
On Time,354,493.5,322.8,217.35,577.8,434.475,281.625
On Time,375,527.1,313.8,231.975,621.3,470.5875,317.6625
On Time,318,455.7,261,192.375,515.7,393.1875,258.2625
On Time,309,434.7,249,188.775,498.9,374.2875,254.3625
On Time,366,491.4,274.8,207.45,564.6,409.725,269.775
On Time,303,426.3,250.2,184.725,495.9,382.725,253.575
On Time,378,499.8,296.4,221.85,605.4,448.425,297.075
On Time,393,518.7,354,306.9,740.4,502.65,324.75
On Time,315,447.3,259.8,193.725,550.2,397.125,261.975
On Time,339,522.9,295.8,231.525,572.7,421.7625,280.9875
On Time,327,453.6,260.4,202.5,536.4,393.75,259.65
On Time,315,443.1,257.4,214.65,555,397.125,263.175
On Time,324,453.6,258,193.05,511.8,384.525,252.975
On Time,339,485.1,276.6,211.725,572.7,432.5625,324.375
On Time,327,462,266.4,198.9,536.4,408.15,263.25
On Time,396,541.8,298.8,227.25,619.8,457.425,307.275
On Time,363,497.7,281.4,202.725,527.1,390.2625,271.6875
On Time,336,504,279.6,206.55,563.4,412.875,286.425
On Time,336,485.1,277.8,204.975,549.3,425.5875,288.2625
On Time,333,464.1,263.4,193.275,524.1,385.5375,256.9125
On Time,357,495.6,270,207.45,533.4,392.625,267.675
On Time,357,506.1,286.2,219.825,725.4,480.825,305.475
On Time,333,466.2,264,193.5,510,383.85,258.75
On Time,381,537.6,301.2,220.95,561,438.975,291.525
On Time,336,493.5,279,209.925,570.3,426.2625,286.0875
On Time,318,451.5,259.8,195.525,522.3,386.6625,257.2875
On Time,321,447.3,255,195.525,515.1,392.9625,260.5875
On Time,348,489.3,282.6,214.875,552.9,419.7375,283.9125
On Time,339,470.4,270,209.25,644.4,459.45,281.55
On Time,324,451.5,261,192.375,546.6,401.175,264.525
On Time,366,497.7,275.4,229.95,582.6,423.675,286.425
On Time,375,529.2,309.6,230.4,612,452.7,312.9
On Time,369,495.6,289.2,208.35,546.6,402.975,274.725
On Time,336,464.1,265.8,204.975,604.2,419.175,272.925
On Time,309,445.2,255.6,193.05,558,405.45,256.35
On Time,351,489.3,274.2,205.425,547.5,415.9125,273.0375
On Time,330,464.1,267,194.625,528.3,394.3125,257.4375
On Time,369,512.4,301.2,229.05,750,517.05,321.15
On Time,312,443.1,251.4,191.475,514.5,376.5375,251.5125
On Time,348,525,296.4,234.45,619.8,462.825,304.275
On Time,351,491.4,277.2,209.25,550.2,409.725,274.575
On Time,342,462,261.6,207,532.8,401.4,269.4
On Time,360,543.9,304.2,236.475,612.9,589.275,345.225
On Time,315,449.4,254.4,203.4,523.2,387,257.4
On Time,348,497.7,279,218.025,593.1,424.0125,280.5375
On Time,333,485.1,276.6,209.025,576.3,442.9125,297.6375
On Time,360,483,276,207.9,555.6,429.75,287.25
On Time,333,487.2,272.4,196.65,516.6,389.925,257.175
On Time,459,636.3,366.6,275.175,736.5,547.9875,366.2625
On Time,327,459.9,259.8,196.425,523.5,388.9125,258.0375
On Time,408,556.5,313.8,226.575,618.9,449.8875,296.3625
On Time,342,476.7,274.2,205.425,542.7,408.7125,273.0375
On Time,345,462,266.4,203.4,532.8,406.8,276
On Time,354,499.8,291.6,210.15,565.8,404.775,264.525
On Time,453,634.2,484.8,321.3,805.2,586.35,380.25
On Time,336,468.3,261,192.375,518.1,383.2875,256.1625
On Time,381,520.8,301.2,230.85,612.6,538.65,323.55
On Time,321,453.6,261.6,203.4,552,417.6,277.2
On Time,372,525,286.8,223.65,559.8,425.925,277.575
On Time,312,443.1,252.6,191.025,501.9,375.4125,252.3375
On Time,330,453.6,256.8,192.6,523.2,397.8,264.6
On Time,342,476.7,283.8,209.925,572.7,418.1625,289.3875
On Time,348,480.9,274.2,204.525,546.3,408.2625,276.4875
On Time,369,501.9,275.4,207.675,562.5,419.7375,280.3125
On Time,426,531.3,297,222.075,581.7,423.3375,279.1125
On Time,309,434.7,249,187.875,529.8,393.075,255.825
On Time,330,480.9,277.8,213.075,574.5,426.0375,277.6125
On Time,360,617.4,319.2,235.8,633.6,471.6,297.6
On Time,330,485.1,325.2,223.65,591,428.625,290.475
On Time,339,472.5,275.4,207.675,557.7,417.9375,278.5125
On Time,327,455.7,261,193.275,509.7,378.3375,252.1125
On Time,339,472.5,268.2,199.575,537.3,406.6875,271.1625
On Time,333,457.8,255.6,194.85,526.2,395.325,264.975
On Time,327,466.2,265.2,203.85,523.8,401.625,261.075
On Time,345,485.1,277.8,209.475,548.1,412.5375,275.5125
On Time,324,478.8,262.8,203.85,634.8,437.85,280.35
On Time,345,480.9,277.8,201.375,520.5,396.7875,272.6625
On Time,357,493.5,269.4,207.225,537.9,415.9125,279.0375
On Time,330,455.7,255,189.225,516.3,391.6125,270.675
On Time,303,432.6,253.2,187.65,492.6,371.925,245.175
On Time,333,501.9,291,221.625,578.7,424.0125,285.3375
On Time,348,489.3,280.2,205.875,543.3,405.3375,273.1125
On Time,336,485.1,269.4,198.225,521.1,402.4125,278.1375
On Time,321,453.6,259.2,193.5,505.2,383.85,255.15
On Time,375,533.4,291.6,211.95,553.8,438.075,299.625
On Time,360,501.9,279,203.625,559.5,427.6125,290.1375
On Time,336,470.4,260.4,199.35,546.6,397.575,258.525
On Time,318,451.5,261,193.275,514.5,385.5375,254.5125
On Time,315,451.5,258.6,195.975,525.3,391.3875,280.125
On Time,312,447.3,256.2,190.575,510.9,391.3875,256.4625
On Time,318,443.1,255,192.825,504.3,378.1125,253.2375
On Time,354,483,284.4,213.75,570.6,485.55,303.45
On Time,342,483,276,200.7,553.2,403.65,276.15
On Time,345,485.1,275.4,206.775,544.5,409.3875,273.2625
On Time,348,474.6,267.6,205.65,540.6,422.325,272.775
On Time,318,508.2,284.4,202.95,539.4,403.875,281.25
On Time,348,476.7,265.8,195.075,519.3,396.3375,264.1125
On Time,357,491.4,283.2,221.4,590.4,451.8,281.4
On Time,312,438.9,255,189.225,497.1,377.2125,245.7375
On Time,465,659.4,372,279.9,752.4,553.95,375.45
On Time,363,493.5,269.4,199.125,536.7,393.8625,265.6875
On Time,312,441,272.4,242.1,603.6,447.75,292.05
On Time,321,451.5,264.6,208.125,551.1,410.0625,262.6875
On Time,366,518.7,306.6,229.275,605.7,475.5375,318.1125
On Time,426,554.4,303.6,217.35,570.6,422.775,283.725
On Time,321,470.4,267.6,199.35,539.4,414.675,279.825
On Time,381,533.4,286.8,216.45,591,432.225,292.875
On Time,324,453.6,254.4,190.8,501.6,373.5,251.7
On Time,312,441,254.4,190.8,511.2,378.9,259.5
On Time,411,554.4,307.2,223.2,602.4,431.1,284.1
On Time,321,459.9,258.6,193.275,514.5,394.5375,262.3125
On Time,351,609,334.8,247.05,822,554.85,321.75
On Time,381,510.3,286.2,207.225,576.3,442.9125,290.4375
On Time,330,462,268.8,200.7,522,386.55,259.65
On Time,333,468.3,265.8,215.55,551.4,402.975,260.325
On Time,354,489.3,264.6,210.825,569.1,434.8125,272.1375
On Time,321,447.3,258.6,195.975,525.3,391.3875,261.2625
On Time,300,432.6,248.4,189.9,505.2,382.05,258.15
On Time,375,510.3,297,220.275,598.5,444.0375,284.8125
On Time,336,483,279.6,207.45,559.8,473.85,304.35
On Time,306,426.3,249,186.975,489.3,365.2875,262.725
On Time,336,501.9,293.4,220.725,596.7,445.1625,288.7875
On Time,333,512.4,276,201.6,532.8,399.6,264
On Time,378,529.2,301.2,220.95,563.4,423.675,281.625
On Time,375,493.5,306.6,238.275,603.3,463.8375,293.8125
On Time,312,438.9,252.6,188.325,510.3,385.7625,253.3875
On Time,342,476.7,269.4,206.325,541.5,413.6625,274.6875
On Time,339,483,316.8,219.6,561.6,421.2,274.8
On Time,345,508.2,290.4,223.2,573.6,436.5,278.7
On Time,321,457.8,261.6,194.4,516,389.7,276.6
On Time,372,501.9,285,213.075,557.7,428.7375,273.7125
On Time,327,449.4,248.4,187.65,497.4,370.125,248.175
On Time,396,562.8,315.6,232.65,634.2,576.45,338.55
On Time,339,476.7,271.8,207.225,605.4,432.225,272.475
On Time,336,468.3,274.2,218.025,593.1,449.2125,281.7375
On Time,357,491.4,277.2,219.15,568.2,414.675,283.425
On Time,378,552.3,307.8,230.625,607.5,447.4125,303.9375
On Time,360,497.7,287.4,206.775,554.1,425.5875,291.8625
On Time,327,449.4,256.8,192.6,511.2,389.7,257.1
On Time,453,644.7,373.8,283.275,1000.2,650.475,400.425
On Time,324,451.5,257.4,195.525,515.1,392.9625,264.1875
On Time,378,518.7,301.8,234.675,624.9,452.1375,300.7125
On Time,351,466.2,265.2,202.05,531,395.325,267.375
On Time,333,483,284.4,209.25,559.8,418.725,276.375
On Time,366,495.6,336,230.4,578.4,420.3,282.9
On Time,363,510.3,291,212.625,576.3,406.9125,260.4375
On Time,462,651,370.8,277.65,751.8,555.525,373.575
On Time,324,457.8,261.6,195.3,544.8,396.9,264.3
On Time,327,455.7,258.6,195.075,509.7,381.9375,254.5125
On Time,327,449.4,256.8,194.4,513.6,417.6,265.2
On Time,324,447.3,256.2,189.675,500.1,374.7375,254.5125
On Time,342,487.2,286.8,215.55,556.2,410.175,271.125
On Time,333,472.5,270.6,217.575,573.3,516.375,325.725
On Time,321,451.5,258.6,196.875,563.4,411.075,267.825
On Time,345,493.5,276.6,207.225,554.7,400.6125,293.475
On Time,345,470.4,271.2,204.3,526.8,397.35,269.25
On Time,462,655.2,369.6,275.4,729.6,543.6,368.4
On Time,345,487.2,276,207,544.8,411.3,273.9
On Time,432,556.5,283.8,218.025,569.1,422.2125,269.1375
On Time,417,560.7,318.6,242.775,604.5,582.975,337.125
On Time,351,478.8,326.4,226.8,592.8,438.3,288.9
On Time,357,504,280.8,203.4,554.4,402.3,273.3
On Time,396,539.7,317.4,218.925,608.7,428.0625,303.4875
On Time,309,432.6,254.4,188.1,530.4,391.5,256.5
On Time,330,483,270,197.55,534.6,393.075,272.625
On Time,315,478.8,267.6,196.65,526.2,391.725,258.975
On Time,354,464.1,274.8,193.05,519,390.825,261.075
On Time,303,422.1,244.2,181.575,482.1,371.5875,245.0625
On Time,333,457.8,261.6,192.6,516,408.6,284.4
On Time,387,539.7,287.4,206.775,554.1,438.1875,276.8625
On Time,636,1129.8,508.8,328.5,807.6,589.05,377.55
On Time,378,518.7,280.2,208.575,633,561.15,323.85
On Time,312,441,256.8,189.9,502.8,373.95,250.65
On Time,372,514.5,293.4,213.525,560.7,433.4625,294.4875
On Time,444,588,303.6,215.55,621,454.275,293.025
On Time,357,489.3,282.6,206.775,546.9,417.4875,273.5625
On Time,348,483,278.4,212.4,542.4,415.8,282.6
On Time,348,470.4,268.8,195.3,519.6,400.05,273.75
On Time,348,483,319.2,224.1,636,432.9,281.1
On Time,381,552.3,293.4,213.525,603.9,456.8625,299.8875
On Time,396,562.8,308.4,216.45,579,427.725,345.15
On Time,357,525,313.2,224.55,563.4,416.475,273.225
On Time,315,441,259.2,195.3,522,390.15,262.05
On Time,375,493.5,295.8,224.325,591.9,441.5625,295.9875
On Time,366,535.5,315,242.325,630.3,446.9625,303.7875
On Time,384,537.6,315.6,243.45,622.2,483.525,311.175
On Time,342,464.1,265.8,194.175,527.7,394.0875,263.3625
On Time,336,474.6,284.4,215.55,558.6,400.275,282.225
On Time,468,646.8,374.4,279,751.2,761.4,435
On Time,345,497.7,288.6,213.525,555.9,419.0625,281.2875
On Time,339,499.8,296.4,215.55,565.8,411.975,284.925
On Time,327,455.7,262.2,199.125,543.9,409.1625,279.1875
On Time,378,535.5,298.2,220.725,606.3,450.5625,302.5875
On Time,381,501.9,291,221.625,588.3,427.6125,285.3375
On Time,315,449.4,259.2,205.2,525.6,396.9,260.7
On Time,333,468.3,263.4,196.875,528.9,390.9375,259.9125
On Time,324,443.1,250.2,196.65,511.8,386.325,254.775
On Time,345,472.5,275.4,197.775,515.7,402.1875,268.4625
On Time,408,543.9,310.2,293.85,696.6,477.225,325.875
On Time,384,533.4,319.2,235.8,578.4,461.7,313.5
On Time,375,548.1,316.2,227.475,622.5,453.0375,314.2125
On Time,354,491.4,273.6,197.1,555.6,418.95,269.25
On Time,330,464.1,259.8,192.825,521.1,384.4125,255.3375
On Time,465,651,369.6,279.9,735.6,558.45,375.75
On Time,342,474.6,265.2,200.25,543,410.625,276.075
On Time,390,560.7,323.4,245.475,591.3,486.675,294.225
On Time,330,443.1,253.8,186.975,491.7,376.9875,255.2625
On Time,417,579.6,327.6,241.65,639,455.625,315.075
On Time,333,478.8,279.6,208.35,568.2,414.675,283.425
On Time,477,648.9,375,282.825,739.5,561.7125,367.2375
On Time,333,485.1,270.6,211.275,545.7,411.6375,282.4125
On Time,384,539.7,311.4,234.675,617.7,462.0375,302.8125
On Time,321,447.3,256.2,193.275,516.9,388.2375,260.2125
On Time,372,533.4,302.4,234,604.8,448.2,297
On Time,360,506.1,299.4,258.75,609,438.975,283.125
On Time,315,453.6,256.8,195.3,554.4,402.3,262.5
On Time,333,512.4,284.4,209.25,552.6,408.825,270.675
On Time,369,487.2,286.8,209.25,543,434.025,276.675
On Time,336,451.5,256.2,193.275,504.9,385.5375,253.3125
On Time,363,506.1,293.4,231.525,632.7,482.0625,310.6875
On Time,327,447.3,247.8,182.925,493.5,379.4625,257.2875
On Time,312,443.1,250.2,189.225,509.1,387.1125,256.2375
On Time,324,455.7,259.8,195.525,524.7,396.5625,261.7875
On Time,321,453.6,260.4,192.15,515.4,393.075,258.225
On Time,375,546,320.4,235.35,640.2,470.475,309.225
On Time,339,480.9,273,206.775,549.3,411.1875,276.2625
On Time,324,462,262.8,196.65,538.2,405.225,270.675
On Time,357,493.5,286.2,216.225,552.3,415.9125,267.0375
On Time,360,520.8,294,222.75,592.2,459.675,302.025
On Time,453,642.6,367.2,278.1,735.6,562.05,376.95
On Time,357,508.2,297.6,227.7,577.2,434.25,291.15
On Time,336,457.8,262.8,195.75,539.4,394.875,260.025
On Time,342,466.2,280.8,210.6,537.6,390.6,261
On Time,357,489.3,292.2,207.675,555.3,456.075,297.225
On Time,393,554.4,306,223.65,607.8,452.925,302.175
On Time,315,449.4,258,192.15,510.6,376.875,255.225
On Time,411,575.4,319.2,306,936,595.8,357
On Time,459,653.1,373.8,275.175,731.7,556.9875,365.6625
On Time,396,548.1,318.6,229.275,610.5,448.5375,301.9125
