v1,v2
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
No spam,We still on for tonight?
No spam,May i call You later Pls
No spam,Hasn't that been the pattern recently crap weekends?
No spam,I have a sore throat. It's scratches when I talk
No spam,Yes da. Any plm at ur office
No spam,Are you not around or just still asleep? :V
No spam,"Lol you forgot it eh ? Yes, I'll bring it in babe"
No spam,"Its good, we'll find a way"
No spam,Can not use foreign stamps in this country. Good lecture .
No spam,Yup bathe liao...
No spam,HAPPY NEW YEAR MY NO.1 MAN
No spam,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
No spam,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
No spam,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
No spam,"No my blankets are sufficient, thx"
No spam,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
No spam,"""""""""""""""""""""""""""""""Edison has rightly said"""""""
No spam,They just talking thats it de. They wont any other.
No spam,Today am going to college so am not able to atten the class.
No spam,I'm in class. Will holla later
No spam,Easy ah?sen got selected means its good..
No spam,Mmm thats better now i got a roast down me! i��d b better if i had a few drinks down me 2! Good indian?
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
No spam,"Come round, it's . "
No spam,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here.."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
spam,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!"
No spam,I walked an hour 2 c u! doesn��t that show I care y wont u believe im serious?
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
No spam,Are you available for soiree on June 3rd?
No spam,Do u noe wat time e place dat sells 4d closes?
No spam,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
No spam,Jay's getting really impatient and belligerent
No spam,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
No spam,I'm at work. Please call
No spam,Then u drive lor.
No spam,Ard 515 like dat. Y?
No spam,Tell me they're female :V how're you throwing in? We're deciding what all to get now
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN �100 Cash WKENT/150P16+
No spam,I'm working technical support :)voice process.networking field.
No spam,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.
No spam,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
No spam,"That's fine, I'll bitch at you about it later then"
No spam,No my mum went 2 dentist.
No spam,Once free call me sir. I am waiting for you.
No spam,Meeting u is my work. . . Tel me when shall i do my work tomorrow
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
No spam,Jus finish bathing...
No spam,"alright, I'll make sure the car is back tonight"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a �800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
No spam,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
No spam,Aight ill get on fb in a couple minutes
No spam,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
No spam,Where can download clear movies. Dvd copies.
No spam,"Yep, by the pretty sculpture"
No spam,Convey my regards to him
No spam,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
No spam,You tell what happen dont behave like this to me. Ok no need to say
No spam,Can u get pic msgs to your phone?
No spam,Send to someone else :-)
No spam,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
No spam,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
No spam,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
No spam,I don't think he has spatula hands!
No spam,You can never do NOTHING
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p�3.99
No spam,Goodmorning today i am late for  &lt;DECIMAL&gt; min.
spam,WIN URGENT! Your mobile number has been awarded with a �2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 
No spam,Please da call me any mistake from my side sorry da. Pls da goto doctor.
No spam,Where r we meeting?
No spam,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
No spam,Now only i reached home. . . I am very tired now. . I will come tomorro
No spam,Ryder unsold.now gibbs.
spam,Dear Subscriber ur draw 4 �100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
No spam,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.
No spam,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
No spam,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
No spam,You busy or can I come by at some point and figure out what we're doing tomorrow
No spam,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
No spam,Black shirt n blue jeans... I thk i c �_...
No spam,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
No spam,on hen night. Going with a swing
No spam,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*"
No spam,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
No spam,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
No spam,S s..first time..dhoni rocks...
No spam,Ok ill tell the company
No spam,"Awesome, think we can get an 8th at usf some time tonight?"
No spam,So that means you still think of teju
No spam,"No I'm good for the movie, is it ok if I leave in an hourish?"
No spam,No no:)this is kallis home ground.amla home town is durban:)
No spam,So lets make it saturday or monday as per convenience.
No spam,Hey... What time is your driving on fri? We go for evaluation on fri?
spam,"449050000301 You have won a �2,000 price! To claim, call 09050000301."
No spam,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
spam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16"
No spam,Cancel cheyyamo?and get some money back?
spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
No spam,Ok.ok ok..then..whats ur todays plan
No spam,Good morning princess! How are you?
No spam,Aiyar sorry lor forgot 2 tell u...
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
No spam,Not tonight mate. Catching up on some sleep. This is my new number by the way. 
No spam,"""""""""""""""""""""""""""""""Height of \Oh shit....!!"""""""""""""""""""""""""""""""" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay"""""""""""""""""""""""""""""""
spam,Ur HMV Quiz cash-balance is currently �500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
No spam,"So check your errors and if you had difficulties, do correction."
No spam,Howz pain?hope u r fine..
No spam,"Sorry, I'll call later"
No spam,Good morning princess! How are you?
No spam,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
No spam,U wake up already? Thanx 4 e tau sar piah it's quite nice.
No spam,K do I need a login or anything
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
No spam,LOL ... No just was busy
No spam,What * u wearing?
No spam,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
No spam,Oh:)as usual vijay film or its different?
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
No spam,Have you had a good day? Mine was really busy are you up to much tomorrow night?
No spam,And is there a way you can send shade's stuff to her. And she has been wonderful too.
No spam,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
No spam,Babe ? I lost you ... :-(
No spam,Ok... Help me ask if she's working tmr a not?
No spam,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
No spam,Not a drop in the tank
No spam,(That said can you text him one more time?)
No spam,"Sorry, I'll call later"
No spam,Ok i go change also...
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(�1.50p. m)
No spam,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
No spam,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
No spam,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee
No spam,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
No spam,Hey! There's veggie pizza... :/
No spam,Yun buying... But school got offer 2000 plus only...
No spam,You sure your neighbors didnt pick it up
No spam,K. I will sent it again
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
No spam,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
No spam,Well. Im computerless. Time to make some oreo truffles
No spam,"Haha yeah I see that now, be there in a sec"
No spam,I am not having her number sir
No spam,Lol now I'm after that hot air balloon!
No spam,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
No spam,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
No spam,"Yeah, we can probably swing by once my roommate finishes up with his girl"
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
No spam,Happy new years melody!
No spam,�� dun need to pick ur gf?
No spam,Yay! You better not have told that to 5 other girls either.
No spam,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
No spam,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
No spam,Just nw i came to hme da..
No spam,"I'm outside islands, head towards hard rock and you'll run into me"
No spam,To day class is there are no class.
No spam,I'm in chennai velachery:)
No spam,You flippin your shit yet?
No spam,"K give me a sec, breaking a  &lt;#&gt;  at cstore"
No spam,Am i that much bad to avoid like this?
No spam,"Yo, you around? Just got my car back"
No spam,Annoying isn't it.
No spam,"Goodmorning, Today i am late for  &lt;#&gt; min."
No spam,There's no point hangin on to mr not right if he's not makin u happy
No spam,All will come alive.better correct any good looking figure there itself..
No spam,In that case I guess I'll see you at campus lodge
No spam,We're done...
No spam,Come to my home for one last time i wont do anything. Trust me.
No spam,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 �3/wk 087016248
No spam,Ok... C ya...
spam,You have 1 new voicemail. Please call 08719181503
No spam,What he said is not the matter. My mind saying some other matter is there.
No spam,He also knows about lunch menu only da. . I know
No spam,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
No spam,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
No spam,Otherwise had part time job na-tuition..
No spam,I know she called me
No spam,"Me also da, i feel yesterday night  wait til 2day night dear."
No spam,Thanks for understanding. I've been trying to tell sura that.
spam,WIN a year supply of CDs 4 a store of ur choice worth �500 & enter our �100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
No spam,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
No spam,I need you to be in my strong arms...
No spam,Also maaaan are you missing out
No spam,His bday real is in april .
No spam,Guessin you ain't gonna be here before 9?
No spam,Ok then i will come to ur home after half an hour
No spam,"Yo, the game almost over? Want to go to walmart soon"
No spam,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!"
No spam,I'll text now! All creepy like so he won't think that we forgot
No spam,"that would be good ��_ I'll phone you tomo lunchtime, shall I, to organise something?"
spam,You have 1 new voicemail. Please call 08719181513.
No spam,"Damn, can you make it tonight or do you want to just wait til tomorrow"
No spam,K..k..i'm also fine:)when will you complete the course?
No spam,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier."
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
No spam,Prakesh is there know.
No spam,Teach me apps da. When you come to college.
No spam,Rofl betta invest in some  anti aging products
spam,You are a winner U have been specially selected 2 receive �1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
No spam,"sir, you will receive the account no another 1hr time. Sorry for the delay."
spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
No spam,So �_'ll be submitting da project tmr rite?
spam,FREE entry into our �250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
No spam,Jus ans me lar. U'll noe later.
No spam,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
No spam,have got * few things to do. may be in * pub later.
No spam,1's finish meeting call me.
No spam,Lol ok. I'll snatch her purse too.
No spam,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
No spam,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
No spam,How much are we getting?
No spam,Is ur paper in e morn or aft tmr?
No spam,"Dear relieved of westonzoyland, all going to plan this end too!"
No spam,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
No spam,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
No spam,"I want to show you the world, princess :) how about europe?"
No spam,Nobody can decide where to eat and dad wants Chinese
No spam,No shoot me. I'm in the docs waiting room. :/
No spam,Now? I'm going out 4 dinner soon..
No spam,Hello which the site to download songs its urgent pls
No spam,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! "
No spam,Horrible gal. Me in sch doing some stuff. How come u got mc?
No spam,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
No spam,"I call you later, don't have network. If urgnt, sms me."
No spam,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
No spam,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
No spam,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... 
No spam,What your plan for pongal?
No spam,Just wait till end of march when el nino gets himself. Oh.
No spam,"Not yet chikku..going to room nw, i'm in bus.."
No spam,Am also doing in cbe only. But have to pay.
No spam,Honey boo I'm missing u.
No spam,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
No spam,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
No spam,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
No spam,Ok. No wahala. Just remember that a friend in need ...
No spam,I will see in half an hour
No spam,"Im in inperialmusic listening2the weirdest track ever by��leafcutter john��-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
No spam,\Hey sorry I didntgive ya a a bellearlier hunny
No spam,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls�1/minmoremobsEMSPOBox45PO139WA
No spam,"Tee hee. Off to lecture, cheery bye bye."
No spam,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
No spam,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
No spam,Ok...
spam,network operator. The service is free. For T & C's visit 80488.biz
No spam,Let me know how to contact you. I've you settled in a room. Lets know you are ok.
No spam,Wot u up 2 u weirdo?
No spam,Can do lor...
No spam,Dont put your phone on silent mode ok
No spam,Can i meet �_ at 5.. As 4 where depends on where �_ wan 2 in lor..
No spam,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
No spam,Oh ho. Is this the first time u use these type of words
No spam,Am I the only one who doesn't stalk profiles?
No spam,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""""""""""""""""""""""""""""""""
No spam,Yes i thought so. Thanks.
No spam,But if she.s drinkin i'm ok.
No spam,"Just wondering, the others just took off"
No spam,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
No spam,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?"
No spam,Happy new year to u too!
No spam,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
No spam,Eat jap done oso aft ur lect wat... �� got lect at 12 rite... 
No spam,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
No spam,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
No spam,Happy birthday... May all ur dreams come true...
No spam,Aiyah u did ok already lar. E nydc at wheellock?
No spam,TELL HER I SAID EAT SHIT.
No spam,Sure! I am driving but will reach my destination soon.
No spam,"K so am I, how much for an 8th? Fifty?"
No spam,Your daily text from me ��� a favour this time
No spam,Great to hear you are settling well. So what's happenin wit ola?
No spam,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
No spam,I tot u reach liao. He said t-shirt.
No spam,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
No spam,I cant pick the phone right now. Pls send a message
No spam,Your right! I'll make the appointment right now.
No spam,Designation is software developer and may be she get chennai:)
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
No spam,I jokin oni lar.. �� busy then i wun disturb �_.
No spam,"Ok, be careful ! Don't text and drive !"
No spam,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
No spam,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
No spam,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
No spam,How abt making some of the pics bigger?
No spam,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
No spam,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
No spam,Why nothing. Ok anyway give me treat
spam,"Win the newest ���Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
No spam,Ok...
No spam,Correct. So how was work today
No spam,"Just sent again. Do you scream and moan in bed, princess?"
No spam,"I wake up long ago already... Dunno, what other thing?"
No spam,Oh just getting even with u.... u?
No spam,I thk 50 shd be ok he said plus minus 10.. Did �_ leave a line in between paragraphs?
No spam,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
No spam,Yeah jay's sort of a fucking retard
No spam,"Sorry, was in the bathroom, sup"
spam,Ur balance is now �500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
No spam,My exam is for february 4. Wish you a great day.
No spam,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
No spam,"Aight no rush, I'll ask jay"
No spam,Good Morning plz call me sir
No spam,It's ok lar. U sleep early too... Nite...
No spam,"Oh... Icic... K lor, den meet other day..."
No spam,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
No spam,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
No spam,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
No spam,Then she buying today? �� no need to c meh...
No spam,Aight sorry I take ten years to shower. What's the plan?
No spam,Every monday..nxt week vl be completing..
No spam,Might ax well im there.
No spam,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
No spam,Yeah I'll try to scrounge something up
No spam,Crazy ar he's married. �� like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
No spam,Were somewhere on Fredericksburg
No spam,Que pases un buen tiempo or something like that
No spam,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
No spam,She doesnt need any test.
No spam,"Nothing much, chillin at home. Any super bowl plan?"
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 �3/wk"
No spam,Bugis oso near wat... 
No spam,Yo theres no class tmrw right?
No spam,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
No spam,"Goodnight, sleep well da please take care pa. Please."
No spam,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
No spam,Convey my regards to him
No spam,U ned to convince him tht its not possible witot hurting his feeling its the main
No spam,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
No spam,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
No spam,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
No spam,Yo dude guess who just got arrested the other day
No spam,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
No spam,What does the dance river do?
No spam,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
No spam,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
No spam,Bbq this sat at mine from 6ish. Ur welcome 2 come
No spam,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough ��_"
No spam,Alright. I'm out--have a good night!
No spam,Did you try making another butt.
No spam,Hope you are feeling great. Pls fill me in. Abiola
No spam,I though we shd go out n have some fun so bar in town or something ��� sound ok?
No spam,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY �1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
No spam,We're finally ready fyi
No spam,Auntie huai juan never pick up her phone
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
No spam,"Ya tel, wats ur problem.."
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
No spam,i dnt wnt to tlk wid u
No spam,"""""""""""""""""""""""""""""""We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting.."""""""""""""""""""""""""""""""" Goodnight!"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
No spam,Its ok my arm is feeling weak cuz i got a shot so we can go another time
No spam,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
No spam,"""""""""""""""""""""""""""""""Storming msg: Wen u lift d phne"""""""
No spam,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
No spam,All e best 4 ur exam later.
No spam,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
No spam,Oh k.i think most of wi and nz players unsold.
No spam,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
No spam,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
No spam,"Haha just kidding, papa needs drugs"
No spam,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
No spam,Oh ok..
No spam,R we still meeting 4 dinner tonight?
No spam,Thats cool! I am a gentleman and will treat you with dignity and respect.
No spam,Shall i start from hear.
